name,category,top,psf1,psf2,notes,link
FLAMINGO VALLEY,,,0,1727,some notes,https://share.ecoprop.com/FLAMINGO-VALLEY/R065963D
FLO RESIDENCE,,,1220,1226,some notes,https://share.ecoprop.com/FLO-RESIDENCE/R065963D
FONTAINE PARRY,,,0,1368,some notes,https://share.ecoprop.com/FONTAINE-PARRY/R065963D
FORESQUE RESIDENCES,,,1575,1476,some notes,https://share.ecoprop.com/FORESQUE-RESIDENCES/R065963D
FOREST WOODS,,,1838,0,some notes,https://share.ecoprop.com/FOREST-WOODS/R065963D
FORT GARDENS,,,0,1837,some notes,https://share.ecoprop.com/FORT-GARDENS/R065963D
FULCRUM,,,2111,0,some notes,https://share.ecoprop.com/FULCRUM/R065963D
GARDENVISTA,,,0,1725,some notes,https://share.ecoprop.com/GARDENVISTA/R065963D
GEM RESIDENCES,,,1824,2067,some notes,https://share.ecoprop.com/GEM-RESIDENCES/R065963D
GLENDALE PARK,,,0,1576,some notes,https://share.ecoprop.com/GLENDALE-PARK/R065963D
GOODWOOD RESIDENCE,,,0,2638,some notes,https://share.ecoprop.com/GOODWOOD-RESIDENCE/R065963D
GRAMERCY PARK,,,0,3625,some notes,https://share.ecoprop.com/GRAMERCY-PARK/R065963D
GRANDEUR 8,,,0,1174,some notes,https://share.ecoprop.com/GRANDEUR-8/R065963D
GRANDEUR PARK RESIDENCES,,,1902,1713,some notes,https://share.ecoprop.com/GRANDEUR-PARK-RESIDENCES/R065963D
GRANGE RESIDENCES,,,0,3147,some notes,https://share.ecoprop.com/GRANGE-RESIDENCES/R065963D
GUILIN VIEW,,,1023,1047,some notes,https://share.ecoprop.com/GUILIN-VIEW/R065963D
H2O RESIDENCES,,,1318,1345,some notes,https://share.ecoprop.com/H2O-RESIDENCES/R065963D
HAIG COURT,,,0,2000,some notes,https://share.ecoprop.com/HAIG-COURT/R065963D
HALLMARK RESIDENCES,,,0,1768,some notes,https://share.ecoprop.com/HALLMARK-RESIDENCES/R065963D
HAUS ON HANDY,,,2764,0,some notes,https://share.ecoprop.com/HAUS-ON-HANDY/R065963D
HAZEL PARK CONDOMINIUM,,,0,1596,some notes,https://share.ecoprop.com/HAZEL-PARK-CONDOMINIUM/R065963D
HEDGES PARK CONDOMINIUM,,,1348,1192,some notes,https://share.ecoprop.com/HEDGES-PARK-CONDOMINIUM/R065963D
HERITAGE VIEW,,,0,1602,some notes,https://share.ecoprop.com/HERITAGE-VIEW/R065963D
HIGH OAK CONDOMINIUM,,,0,1304,some notes,https://share.ecoprop.com/HIGH-OAK-CONDOMINIUM/R065963D
HIGHGATE,,,0,1462,some notes,https://share.ecoprop.com/HIGHGATE/R065963D
HIGHLINE RESIDENCES,,,0,2124,some notes,https://share.ecoprop.com/HIGHLINE-RESIDENCES/R065963D
HILLBROOKS,,,0,1495,some notes,https://share.ecoprop.com/HILLBROOKS/R065963D
HILLINGTON GREEN,,,0,1588,some notes,https://share.ecoprop.com/HILLINGTON-GREEN/R065963D
HILLSTA,,,1371,0,some notes,https://share.ecoprop.com/HILLSTA/R065963D
HILLTOP GROVE,,,0,1121,some notes,https://share.ecoprop.com/HILLTOP-GROVE/R065963D
HILLVIEW PARK,,,0,1467,some notes,https://share.ecoprop.com/HILLVIEW-PARK/R065963D
HILLVIEW REGENCY,,,1058,0,some notes,https://share.ecoprop.com/HILLVIEW-REGENCY/R065963D
HILLVIEW RESIDENCE,,,0,1397,some notes,https://share.ecoprop.com/HILLVIEW-RESIDENCE/R065963D
HILLVISTA,,,0,1550,some notes,https://share.ecoprop.com/HILLVISTA/R065963D
HUME PARK II,,,0,1580,some notes,https://share.ecoprop.com/HUME-PARK-II/R065963D
HUNDRED TREES,,,1591,0,some notes,https://share.ecoprop.com/HUNDRED-TREES/R065963D
HYLL ON HOLLAND,,,2877,2893,some notes,https://share.ecoprop.com/HYLL-ON-HOLLAND/R065963D
IVORY HEIGHTS,,,0,1048,some notes,https://share.ecoprop.com/IVORY-HEIGHTS/R065963D
J GATEWAY,,,1875,0,some notes,https://share.ecoprop.com/J-GATEWAY/R065963D
JADESCAPE,,,2093,2189,some notes,https://share.ecoprop.com/JADESCAPE/R065963D
JARDIN,,,0,1793,some notes,https://share.ecoprop.com/JARDIN/R065963D
JEWEL @ BUANGKOK,,,1621,1557,some notes,https://share.ecoprop.com/JEWEL-BUANGKOK/R065963D
KENSINGTON PARK CONDOMINIUM,,,0,1553,some notes,https://share.ecoprop.com/KENSINGTON-PARK-CONDOMINIUM/R065963D
KERRISDALE,,,0,1548,some notes,https://share.ecoprop.com/KERRISDALE/R065963D
KI RESIDENCES AT BROOKVALE,,,2426,2124,some notes,https://share.ecoprop.com/KI-RESIDENCES-AT-BROOKVALE/R065963D
KINGSFORD . HILLVIEW PEAK,,,1414,0,some notes,https://share.ecoprop.com/KINGSFORD-.-HILLVIEW-PEAK/R065963D
KOVAN MELODY,,,0,1396,some notes,https://share.ecoprop.com/KOVAN-MELODY/R065963D
KOVAN REGENCY,,,0,1666,some notes,https://share.ecoprop.com/KOVAN-REGENCY/R065963D
KOVAN RESIDENCES,,,0,1422,some notes,https://share.ecoprop.com/KOVAN-RESIDENCES/R065963D
LA FIESTA,,,1507,1336,some notes,https://share.ecoprop.com/LA-FIESTA/R065963D
LAGUNA 88,,,0,1080,some notes,https://share.ecoprop.com/LAGUNA-88/R065963D
LAKE GRANDE,,,1690,1628,some notes,https://share.ecoprop.com/LAKE-GRANDE/R065963D
LAKEPOINT CONDOMINIUM,,,0,809,some notes,https://share.ecoprop.com/LAKEPOINT-CONDOMINIUM/R065963D
LAKEVILLE,,,1622,1692,some notes,https://share.ecoprop.com/LAKEVILLE/R065963D
LANDBAY CONDOMINIUM,,,0,1682,some notes,https://share.ecoprop.com/LANDBAY-CONDOMINIUM/R065963D
LANDRIDGE CONDOMINIUM,,,0,1443,some notes,https://share.ecoprop.com/LANDRIDGE-CONDOMINIUM/R065963D
LEEDON GREEN,,,2846,3392,some notes,https://share.ecoprop.com/LEEDON-GREEN/R065963D
LEEDON RESIDENCE,,,0,2758,some notes,https://share.ecoprop.com/LEEDON-RESIDENCE/R065963D
LES MAISONS NASSIM,,,0,5213,some notes,https://share.ecoprop.com/LES-MAISONS-NASSIM/R065963D
LINCOLN SUITES,,,0,2260,some notes,https://share.ecoprop.com/LINCOLN-SUITES/R065963D
LIV @ MB,,,0,2579,some notes,https://share.ecoprop.com/LIV-MB/R065963D
LIVIA,,,0,1198,some notes,https://share.ecoprop.com/LIVIA/R065963D
MANDARIN GARDENS,,,1448,1430,some notes,https://share.ecoprop.com/MANDARIN-GARDENS/R065963D
MARINA BAY RESIDENCES,,,2114,0,some notes,https://share.ecoprop.com/MARINA-BAY-RESIDENCES/R065963D
MARINA BAY SUITES,,,0,1959,some notes,https://share.ecoprop.com/MARINA-BAY-SUITES/R065963D
MARINA COLLECTION,,,0,1421,some notes,https://share.ecoprop.com/MARINA-COLLECTION/R065963D
MARTIN MODERN,,,2662,2943,some notes,https://share.ecoprop.com/MARTIN-MODERN/R065963D
MARTIN PLACE RESIDENCES,,,0,2514,some notes,https://share.ecoprop.com/MARTIN-PLACE-RESIDENCES/R065963D
MARYMOUNT VIEW,,,1466,0,some notes,https://share.ecoprop.com/MARYMOUNT-VIEW/R065963D
MAYFAIR GARDENS,,,2172,2079,some notes,https://share.ecoprop.com/MAYFAIR-GARDENS/R065963D
MEADOWS @ PEIRCE,,,0,1632,some notes,https://share.ecoprop.com/MEADOWS-PEIRCE/R065963D
MELVILLE PARK,,,938,896,some notes,https://share.ecoprop.com/MELVILLE-PARK/R065963D
MERAPRIME,,,1906,0,some notes,https://share.ecoprop.com/MERAPRIME/R065963D
MODENA,,,0,1071,some notes,https://share.ecoprop.com/MODENA/R065963D
MON JERVOIS,,,2002,0,some notes,https://share.ecoprop.com/MON-JERVOIS/R065963D
MY MANHATTAN,,,1526,1329,some notes,https://share.ecoprop.com/MY-MANHATTAN/R065963D
Maplewoods,,,0,2049,some notes,https://share.ecoprop.com/Maplewoods/R065963D
NEW FUTURA,,,0,4645,some notes,https://share.ecoprop.com/NEW-FUTURA/R065963D
